Year,Festival,Title,Brand,Award,Country,Agency,Track,Category,Sub category,Board image,Video
2025,Clio Entertaiment,TOGETHER - Eyes Poster,NEON,Grand Prix,United States,NEON,Key Art,Teaser Poster,,https://resized-media.entries.clios.com/companies/143796/media/70cb87f2-cd9e-47e2-9fb8-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/201707
2025,Clio Entertaiment,Aspect Ratios with Sinners Director Ryan Coogler,Sinners,Grand Prix,United States,Rivendell Films,Original Content,Creative Content,,https://resized-media.entries.clios.com/companies/143764/media/358ac8fa-3b44-42f1-970f-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/199883
2025,Clio Entertaiment,WICKED Brand Partnerships,Universal Pictures,Grand Prix,United States,Universal Pictures,Partnerships & Collaborations,Partnerships & Collaborations,,https://resized-media.entries.clios.com/companies/143205/media/54a971c1-b3ff-4eb1-fa29-08ddda84979b-medium.jpeg.webp,https://clios.com/winners-gallery/details/193542
2025,Clio Entertaiment,Caption with Intention,Rakish Entertainment,Grand Prix,United States,FCB Chicago,Public Relations,Social Good,,https://resized-media.entries.clios.com/companies/3038/media/66f4fc01-a91d-4954-82ca-08dda8280727-medium.jpg.webp,https://clios.com/winners-gallery/details/194860
2025,Clio Entertaiment,Sonic The Hedgehog 3 Arcade Standee,Paramount Pictures,Grand Prix,United States,Midnight Oil,Retail & Premium,Display,Standee,https://resized-media.entries.clios.com/companies/4734/media/d19531d6-4324-4fd6-451b-08ddbc3a4ea4-medium.png.webp,https://clios.com/winners-gallery/details/197988
2025,Clio Entertaiment,Body Swap,Netflix,Grand Prix,United States,AKQA,Speciality,Clio Entertainment x Snapchat AR Specialty Award,,https://resized-media.entries.clios.com/companies/141718/media/eeb695be-cf42-4436-80ac-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194353
2025,Clio Entertaiment,Second Drop,Depop x Fortnite,Gold,United Kingdom,Miami Ad School Madrid,Games Student,Games Student,,https://resized-media.entries.clios.com/companies/143730/media/8125d9c1-add4-4d79-a189-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/199558
2025,Clio Entertaiment,Without Pedro Pascal,Hispanic Organization of Latin Actors (HOLA) and Disney Plus Netflix Prime video and HBO,Gold,Colombia,Bendita Carpeta,Television & Streaming Student,Television & Streaming Student,,https://resized-media.entries.clios.com/companies/143833/media/5e56fbdb-2c19-48d3-ad8c-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/202168
2025,Clio Entertaiment,WWE Home,Netflix & ikea,Gold,Colombia,Bendita Carpeta,Television & Streaming Student,Television & Streaming Student,,https://resized-media.entries.clios.com/companies/143837/media/9c454a56-4b1f-4a12-9ef9-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/201622
2025,Clio Entertaiment,Kindness is a Survival Skill,The Wild Robot,Gold,United States,Film2Future,Theatrical Student,Theatrical Student,,https://resized-media.entries.clios.com/companies/143793/media/2d8d0ca8-a464-4948-a504-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/200475
2025,Clio Entertaiment,Oreo Square Cookie,Mondeléz International,Gold,Germany,Saatchi & Saatchi Germany,Branded Entertainment & Content,Digital Mobile & Social Media,,https://resized-media.entries.clios.com/companies/364/media/f72b76d4-c464-4e54-ff93-08ddda84979b-medium.jpg.webp,https://clios.com/winners-gallery/details/203666
2025,Clio Entertaiment,LeBron - Dedicated to the Game,Dream Games,Gold,United States,Dream Games,Branded Entertainment & Content,Influencer & Talent Storytelling,,https://resized-media.entries.clios.com/companies/143250/media/a25a5734-b806-4d03-6091-08ddda7db5d2-medium.jpg.webp,https://clios.com/winners-gallery/details/196306
2025,Clio Entertaiment,Project MEMORY CARD,PlayStation,Gold,Japan,SIX INC,Craft & Design,Audio Visual Craft,‌Other,https://resized-media.entries.clios.com/companies/250/media/120b1192-63ea-480e-9618-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199547
2025,Clio Entertaiment,Verdansk Launch Trailer | Call of Duty Warzone,Call of Duty Warzone,Gold,United States,gnet,Craft & Design,Audio Visual Craft,Game Capture Cinematography,https://resized-media.entries.clios.com/companies/4769/media/730a43ee-0910-45fe-8451-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194791
2025,Clio Entertaiment,Verdansk Launch Trailer | Call of Duty Warzone,Call of Duty Warzone,Gold,United States,gnet,Craft & Design,Audio Visual Craft,Music,https://resized-media.entries.clios.com/companies/4769/media/730a43ee-0910-45fe-8451-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194810
2025,Clio Entertaiment,Mafia The Old Country - The Initiation Trailer,2K GAMES,Gold,United States,2K GAMES,Craft & Design,Audio Visual Craft,Sound Design,https://resized-media.entries.clios.com/companies/143785/media/f5355fbe-f43d-4d34-995c-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/200879
2025,Clio Entertaiment,Gameplay Trailer - Meta AF,The Outer Worlds 2,Gold,United States,Buddha Jones,Craft & Design,Audio Visual Craft,Voiceover,https://resized-media.entries.clios.com/companies/143287/media/ce4090fa-2ef0-41aa-43c1-08dda8286ac6-medium.png.webp,https://clios.com/winners-gallery/details/195520
2025,Clio Entertaiment,Sid Meiers Civilization VII Narrator Reveal Trailer,2K GAMES,Gold,United States,2K GAMES,Craft & Design,Design,‌Other,https://resized-media.entries.clios.com/companies/143785/media/16171216-7dfb-4328-a40a-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/200488
2025,Clio Entertaiment,Project MEMORY CARD,PlayStation,Gold,Japan,SIX INC,Craft & Design,Design,Computer-Generated Imagery,https://resized-media.entries.clios.com/companies/250/media/120b1192-63ea-480e-9618-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199548
2025,Clio Entertaiment,Doki Doki Posters You Can Hear,Doki Doki,Gold,Canada,No Fixed Address,Craft & Design,Design,Logo Main Title & Typography,https://resized-media.entries.clios.com/companies/583/media/50bf3fd1-3abc-4f89-b758-08dd4de0928e-medium.jpg.webp,https://clios.com/winners-gallery/details/197829
2025,Clio Entertaiment,Call of Duty Black Ops 6 – Dot Matrix Printer Twitch Takeover,Activision,Gold,United States,Mutiny A Trailer Park Company,Digital Mobile & Social Media,Social Media,‌Other,https://resized-media.entries.clios.com/companies/4687/media/cf13db9e-6f83-4a7e-0490-08dd8372b990-medium.png.webp,https://clios.com/winners-gallery/details/193545
2025,Clio Entertaiment,Recruitment Race,Renault,Gold,France,Publicis Conseil,Experiential & Fan Engagement,Experiential & Activation,‌Other,https://resized-media.entries.clios.com/companies/143667/media/4204657a-9f51-4dd9-94bb-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199072
2025,Clio Entertaiment,Clash of Clans Bathroom Battlestation,Supercell,Gold,United States,Jack Morton Worldwide,Experiential & Fan Engagement,Experiential & Activation,Special Event & Stunt,https://resized-media.entries.clios.com/companies/3787/media/abbefe2d-fdf9-454f-a0d1-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/199412
2025,Clio Entertaiment,Oreo Square Cookie,Mondeléz International,Gold,Germany,Saatchi & Saatchi Germany,Experiential & Fan Engagement,Fan Engagement,Digital & Mobile,https://resized-media.entries.clios.com/companies/364/media/f72b76d4-c464-4e54-ff93-08ddda84979b-medium.jpg.webp,https://clios.com/winners-gallery/details/203673
2025,Clio Entertaiment,The WhatsApp Saga,BIS,Gold,Brazil,DAVID,Experiential & Fan Engagement,Fan Engagement,Digital & Mobile,https://resized-media.entries.clios.com/companies/143760/media/c7d11831-115c-4aea-98cf-08ddcf598d69-medium.jpeg.webp,https://clios.com/winners-gallery/details/200005
2025,Clio Entertaiment,Sid Meiers Civilization VII Shawnee Partnership with 2K Foundations,2K GAMES,Gold,United States,2K GAMES,Experiential & Fan Engagement,Fan Engagement,Social Good,https://resized-media.entries.clios.com/companies/143785/media/0c3b7594-a4bc-45cd-a409-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/200526
2025,Clio Entertaiment,The Final Exam,Change The Ref,Gold,United States,Energy BBDO,Experiential & Fan Engagement,Fan Engagement,Social Good,https://resized-media.entries.clios.com/companies/338/media/f1c3e448-1c8f-4694-6b62-08dd6aeb75fb-medium.jpg.webp,https://clios.com/winners-gallery/details/200390
2025,Clio Entertaiment,The Replacer,Activision Call of Duty,Gold,United States,72andSunny,Integrated Campaign,Integrated Campaign,,https://resized-media.entries.clios.com/companies/359/media/22fa0e71-2848-46e8-a3bc-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/202444
2025,Clio Entertaiment,Borderlands 4 Key Art,2K GAMES,Gold,United States,2K GAMES,Key Art & Out of Home,Key Art,Key Art,https://resized-media.entries.clios.com/companies/143785/media/d0abfd29-b54b-4108-9982-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/200561
2025,Clio Entertaiment,Doki Doki Posters You Can Hear,Doki Doki,Gold,Canada,No Fixed Address,Key Art & Out of Home,Key Art,Poster & One Sheet,https://resized-media.entries.clios.com/companies/583/media/17e5b610-d225-4fc5-a781-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/200116
2025,Clio Entertaiment,Call of Duty Black Ops 6 – Dot Matrix Printer Twitch Takeover,Activision,Gold,United States,Mutiny A Trailer Park Company,Original Content,Live Stream & Podcast,,https://resized-media.entries.clios.com/companies/4687/media/cf13db9e-6f83-4a7e-0490-08dd8372b990-medium.png.webp,https://clios.com/winners-gallery/details/193388
2025,Clio Entertaiment,Oreo Square Cookie,Mondeléz International,Gold,Germany,Saatchi & Saatchi Germany,Partnerships & Collaborations,Partnerships & Collaborations,,https://resized-media.entries.clios.com/companies/364/media/f72b76d4-c464-4e54-ff93-08ddda84979b-medium.jpg.webp,https://clios.com/winners-gallery/details/203675
2025,Clio Entertaiment,The Replacer,Activision Call of Duty,Gold,United States,72andSunny,Partnerships & Collaborations,Partnerships & Collaborations,,https://resized-media.entries.clios.com/companies/359/media/22fa0e71-2848-46e8-a3bc-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/202442
2025,Clio Entertaiment,The Final Exam,Change The Ref,Gold,United States,Energy BBDO,Public Relations,Social Good,,https://resized-media.entries.clios.com/companies/338/media/f1c3e448-1c8f-4694-6b62-08dd6aeb75fb-medium.jpg.webp,https://clios.com/winners-gallery/details/200396
2025,Clio Entertaiment,Trailer The Greatest,The Godfather Part II | 50th Anniversary,Gold,United States,Aspect,Audio Visual,Trailer,,https://resized-media.entries.clios.com/companies/4921/media/8aa49121-33ef-48ac-3fd9-08dda8286ac6-thumbnail.0000000.jpg,https://clios.com/winners-gallery/details/194412
2025,Clio Entertaiment,The Wild Robot A-V Campaign,Universal Pictures Home Entertainment,Gold,United States,Paradise Creative,Audio Visual Campaign,Audio Visual Campaign,,https://resized-media.entries.clios.com/companies/4992/media/d1ba8681-3df5-41cb-af8a-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/202507
2025,Clio Entertaiment,Money Power Respect,Sinners,Gold,United States,Okperfect,Craft & Design,Audio Visual Craft,Sound Design,https://resized-media.entries.clios.com/companies/4851/media/0f5afba7-dabb-43da-43dc-08dda8286ac6-medium.png.webp,https://clios.com/winners-gallery/details/195325
2025,Clio Entertaiment,Dialogue Remix,Pulp Fiction,Gold,United States,Jump! Creative,Craft & Design,Digital Mobile & Social Media Craft,Sound Design,https://resized-media.entries.clios.com/companies/2124/media/ccb7aa68-ef92-4bfe-ad75-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/202208
2025,Clio Entertaiment,Money Power Respect,Sinners,Gold,United States,Okperfect,Craft & Design,Digital Mobile & Social Media Craft,Sound Design,https://resized-media.entries.clios.com/companies/4851/media/0f5afba7-dabb-43da-43dc-08dda8286ac6-medium.png.webp,https://clios.com/winners-gallery/details/195579
2025,Clio Entertaiment,Fandango,Deadpool & Wolverine,Gold,United States,Tiny Hero,Digital Mobile & Social Media,Digital & Mobile,Banners Disruptors & Takeovers,https://resized-media.entries.clios.com/companies/4875/media/13fd7fc7-600f-4778-95f1-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199529
2025,Clio Entertaiment,Mean Girls (2024) - Social Campaign,Mean Girls (2024),Gold,United States,Paramount Pictures,Digital Mobile & Social Media,Social Media,Mixed Campaign,https://resized-media.entries.clios.com/companies/140545/media/7dfdc85f-d603-4ff5-e593-08dcf4529d94-medium.jpg.webp,https://clios.com/winners-gallery/details/201922
2025,Clio Entertaiment,Social Campaign,Sinners,Gold,United States,Okperfect,Digital Mobile & Social Media,Social Media,Mixed Campaign,https://resized-media.entries.clios.com/companies/4851/media/f0bd9e02-3f7d-4628-a5de-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/195587
2025,Clio Entertaiment,Oreo Empire,Oreo,Gold,United States,Dentsu Creative Chicago,Digital Mobile & Social Media,Social Media,Paid Social Media Post,https://resized-media.entries.clios.com/companies/4470/media/eb64cc87-0106-47f0-85f9-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/196581
2025,Clio Entertaiment,Furiosa Raising hell at home,Furiosa,Gold,United States,OC Agency,Digital Mobile & Social Media,Social Media,Short-Form Social Media Video,https://resized-media.entries.clios.com/companies/4765/media/014eed50-76f9-4b09-41c5-08dda8286ac6-thumbnail.0000000.jpg,https://clios.com/winners-gallery/details/194926
2025,Clio Entertaiment,Money Power Respect,Sinners,Gold,United States,Okperfect,Digital Mobile & Social Media,Social Media,Short-Form Social Media Video,https://resized-media.entries.clios.com/companies/4851/media/40270ef3-6bab-4a3d-a5dc-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/195580
2025,Clio Entertaiment,Oreo Empire,Oreo,Gold,United States,Dentsu Creative Chicago,Digital Mobile & Social Media,Social Media,Use of Influencer & Talent,https://resized-media.entries.clios.com/companies/4470/media/eb64cc87-0106-47f0-85f9-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/196582
2025,Clio Entertaiment,Beautiful Fate Making A Real Pain,Searchlight Pictures,Gold,United States,Monkey Deux Inc,Original Content,Behind the Scenes,,https://resized-media.entries.clios.com/companies/143135/media/e8f5d0c0-9675-4250-03ed-08dd8372b990-medium.jpg.webp,https://clios.com/winners-gallery/details/193057
