Festival,Year,Track,Title,Brand,Agency,Contributing_Agencies,Category,Country,Award Level,Permalink
Effie Awards Latam,2025,Single-Market,Eclipsed legacies,Dante Robino (AB InBev),TombrasNiña,,Beverages - alcohol,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/eclipsed-legacies-dante-robino-ab-inbev-tombrasnina-2025/
Effie Awards Latam,2025,Single-Market,Recuérdame viviendo,Victoria,Wieden + Kennedy México,Agencia Montalvo/Zenith MediaTrendsétera de México,Beverages - alcohol,México,Shortlist,/awards/effie_latam/2025/campaigns/recuerdame-viviendo-victoria-wieden-kennedy-mexico-2025/
Effie Awards Latam,2025,Single-Market,Imagina con petacos,Cerveza Poker,DDB Colombia y Buentipo,,Beverages - alcohol,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/imagina-con-petacos-cerveza-poker-ddb-colombia-y-buentipo-2025/
Effie Awards Latam,2025,Single-Market,MixMyEmojis la nueva manera de buscar,Pernod Ricard,Dentsu Creative,,Beverages - alcohol,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/mixmyemojis-la-nueva-manera-de-buscar-pernod-ricard-dentsu-creative-2025/
Effie Awards Latam,2025,Single-Market,En fiestas patrias celebremos nuestras diferencias con eso que nos une,Inca Kola y Arca Continental Lindley,McCann Lima,EssenceMediacom Perú/Burson Perú/VML Perú,Beverages - non alcohol,Perú,Shortlist,/awards/effie_latam/2025/campaigns/en-fiestas-patrias-celebremos-nuestras-diferencias-con-eso-que-nos-une-inca-kola-y-arca-continental-lindley-mccann-lima/
Effie Awards Latam,2025,Single-Market,Madres,7UP,ISLA,Landia,Beverages - non alcohol,México,Shortlist,/awards/effie_latam/2025/campaigns/madres-7up-isla-2025/
Effie Awards Latam,2025,Single-Market,Lo estás haciendo bien,Gloria,Fahrenheit DDB,Starcom - Publicis Groupe,Beverages - non alcohol,Perú,Shortlist,/awards/effie_latam/2025/campaigns/lo-estas-haciendo-bien-gloria-fahrenheit-ddb-2025/
Effie Awards Latam,2025,Single-Market,Juntos en todas,Coca-Cola,Grey Argentina,,Beverages - non alcohol,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/juntos-en-todas-coca-cola-grey-argentina-2025/
Effie Awards Latam,2025,Single-Market,¿Y si el daño fuera belleza?,Dove,VML e Initiative Argentina,Paramount +/Mercado ads/Medialab,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/y-si-el-dano-fuera-belleza-dove-vml-e-initiative-argentina-2025/
Effie Awards Latam,2025,Single-Market,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads/Medialab,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/toda-tu-piel-importa-dove-vml-e-initiative-argentina-2025/
Effie Awards Latam,2025,Single-Market,Un Argentino no te abandona Rexona tampoco,Rexona,Zurda e Initiative Argentina,Medialab/CATCH,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/un-argentino-no-te-abandona-rexona-tampoco-rexona-zurda-e-initiative-argentina-2025/
Effie Awards Latam,2025,Single-Market,Clears winning play against Dandruff,Clear y Unilever Brasil,MullenLowe Singapore,,Beauty & Wellness,Singapur,Shortlist,/awards/effie_latam/2025/campaigns/clears-winning-play-against-dandruff-clear-y-unilever-brasil-mullenlowe-singapore-2025/
Effie Awards Latam,2025,Single-Market,Newborn parents,Johnsons Baby,UM Brasil,,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/newborn-parents-johnsons-baby-um-brasil-2025/
Effie Awards Latam,2025,Single-Market,El buen diente,Dento,RT& Lima,MediaHub/Grupo Lucky,Beauty & Wellness,Perú,Shortlist,/awards/effie_latam/2025/campaigns/el-buen-diente-dento-rt-and-lima-2025/
Effie Awards Latam,2025,Single-Market,Wheres ratinhos water?,Unicef,VML,,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/wheres-ratinhos-water-unicef-vml-2025/
Effie Awards Latam,2025,Single-Market,This is not a game,Movistar,VML,Havas Group México,Beauty & Wellness,México,Shortlist,/awards/effie_latam/2025/campaigns/this-is-not-a-game-movistar-vml-2025/
Effie Awards Latam,2025,Single-Market,ElectrocardiogrAMSTEL,Amstel,AlmapBBDO,Iprospect (Brasil)/Agência Lema/Círculo CRM,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/electrocardiogramstel-amstel-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Historias de heladera,Hellmanns Argentina,Ogilvy Argentina e Initiative Argentina,Media Lab,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/historias-de-heladera-hellmanns-argentina-ogilvy-argentina-e-initiative-argentina-2025/
Effie Awards Latam,2025,Single-Market,Me vale Cheetos,Cheetos,Slap Global,,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/me-vale-cheetos-cheetos-slap-global-2025/
Effie Awards Latam,2025,Single-Market,Invocando al rey en Halloween,Burger King Puerto Rico,De la Cruz Ogilvy,,Beauty & Wellness,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/invocando-al-rey-en-halloween-burger-king-puerto-rico-de-la-cruz-ogilvy-2025/
Effie Awards Latam,2025,Single-Market,The Good Hacker,ICBC,VML Argentina,,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/the-good-hacker-icbc-vml-argentina-2025/
Effie Awards Latam,2025,Single-Market,El Himno de Colombia interpretado por su biodiversidadEl símbolo que puso a hablar al país de orgullo,Seguros Sura,sostenibilidad y de Sura de McCann Worldgroup Colombia y UM Universal McCann Colombia,Miguel de Narváez/Craft Colombia/Burson Colombia,Beauty & Wellness,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/el-himno-de-colombia-interpretado-por-su-biodiversidadel-simbolo-que-puso-a-hablar-al-pais-de-orgullo-seguros-sura-soste/
Effie Awards Latam,2025,Single-Market,La mancha invisible,Reckitt / Vanish,BETC Havas,Lobo/DaHouse Audio/Abrace – Bull/ ing Prevention Institute,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/la-mancha-invisible-reckitt-vanish-betc-havas-2025/
Effie Awards Latam,2025,Single-Market,KitKot,KitKat,Ogilvy Brasil,Media Brands/Allfluencesailor Studio,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/kitkot-kitkat-ogilvy-brasil-2025/
Effie Awards Latam,2025,Single-Market,Romeo and Juliet by BIC,BIC,VML,Hogarth Worldwide Brasil/Carbono Sound LAB/Bolha/OIO,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/romeo-and-juliet-by-bic-bic-vml-2025/
Effie Awards Latam,2025,Single-Market,Nubanc por Matt LeBlanc,Nubank,Wieden + Kennedy,,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/nubanc-por-matt-leblanc-nubank-wieden-kennedy-2025/
Effie Awards Latam,2025,Single-Market,Te amarásLa canción de amor que no sabías que escribiste,Amarás,Marte Creative House y Valor Group,Media Hub/LLYC,Beauty & Wellness,Perú,Shortlist,/awards/effie_latam/2025/campaigns/te-amarasla-cancion-de-amor-que-no-sabias-que-escribiste-amaras-marte-creative-house-y-valor-group-2025/
Effie Awards Latam,2025,Single-Market,"El Tinder"" de seguros",Contigo Soluciones,Liquid Digital Agency,Ninja SRL/Panamericana/Adelobo Estudio de Sonido,Beauty & Wellness,República Dominicana,Shortlist,/awards/effie_latam/2025/campaigns/el-tinder-de-seguros-contigo-soluciones-liquid-digital-agency-2025/
Effie Awards Latam,2025,Single-Market,Pomarolarecetario bailable 100% hecho con AI,Pomarola,Potro,Initiative Media,Beauty & Wellness,Perú,Shortlist,/awards/effie_latam/2025/campaigns/pomarolarecetario-bailable-100-hecho-con-ai-pomarola-potro-2025-2/
Effie Awards Latam,2025,Single-Market,Conectamos con lo que nos mueve Ecuador,Movistar,Ogilvy Ecuador - Compañía Rednet Ecuador Ecuarednet S.A,Havas Ecuador,Beauty & Wellness,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/conectamos-con-lo-que-nos-mueve-ecuador-movistar-ogilvy-ecuador-compania-rednet-ecuador-ecuarednet-sa-2025/
Effie Awards Latam,2025,Single-Market,Las 7 mujeres la película que desenmascaró al asesino silencioso del VPH,MSD Colombia,McCann Worldgroup Colombia y Weber Shandwick Colombia,Performer S,Beauty & Wellness,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/las-7-mujeres-la-pelicula-que-desenmascaro-al-asesino-silencioso-del-vph-msd-colombia-mccann-worldgroup-colombia-y-weber/
Effie Awards Latam,2025,Single-Market,Tierras,ICBC,Centralia Media & Content,Paramount,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/tierras-icbc-centralia-media-and-content-2025/
Effie Awards Latam,2025,Single-Market,De la razón al corazón el giro que cambió el vínculo de Santander con las Pymes,Santander,Don by Havas,,Beauty & Wellness,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/de-la-razon-al-corazon-el-giro-que-cambio-el-vinculo-de-santander-con-las-pymes-santander-don-by-havas-2025/
Effie Awards Latam,2025,Single-Market,La frutería ideal,Leche Evaporada Ideal,McCann Panamá,,Beauty & Wellness,Panamá,Shortlist,/awards/effie_latam/2025/campaigns/la-fruteria-ideal-leche-evaporada-ideal-mccann-panama-2025/
Effie Awards Latam,2025,Single-Market,Handy es un hit,Handy,Publicis Impetu,Zenith Media Uruguay,Beauty & Wellness,Uruguay,Shortlist,/awards/effie_latam/2025/campaigns/handy-es-un-hit-handy-publicis-impetu-2025/
Effie Awards Latam,2025,Single-Market,Con Aguila Light la lealtad nunca se derrite,Aguila Light,David,,Beauty & Wellness,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/con-aguila-light-la-lealtad-nunca-se-derrite-aguila-light-david-2025/
Effie Awards Latam,2025,Single-Market,Medusa La serie que se auto-censuró,Netflix,Sancho BBDO,Flare BBDO,Beauty & Wellness,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/medusa-la-serie-que-se-auto-censuro-netflix-sancho-bbdo-2025/
Effie Awards Latam,2025,Single-Market,Pedro Sola segunda oportunidad,Hellmanns,Initiative México,Épica,Beauty & Wellness,México,Shortlist,/awards/effie_latam/2025/campaigns/pedro-sola-segunda-oportunidad-hellmanns-initiative-mexico-2025/
Effie Awards Latam,2025,Single-Market,1 Minuto al corazón,Pingüino,Initiative,,Beauty & Wellness,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/1-minuto-al-corazon-pinguino-initiative-2025/
Effie Awards Latam,2025,Single-Market,Outside book from screens to the sun,Fruittella,VML,Sweet Filmes,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/outside-book-from-screens-to-the-sun-fruittella-vml-2025/
Effie Awards Latam,2025,Single-Market,Seguro ficticio ¿Tu personaje favorito se murió? ¡Felicitaciones ganaste!,RCN y Seguros del Estado,DDB Colombia y Multi,,Beauty & Wellness,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/seguro-ficticio-tu-personaje-favorito-se-murio-felicitaciones-ganaste-rcn-y-seguros-del-estado-ddb-colombia-y-multi-2025/
Effie Awards Latam,2025,Single-Market,El precio Kimberly Despertando a todo un país para ver marcha atlética de madrugada,plazaVea,Fahrenheit DDB,,Beauty & Wellness,Perú,Shortlist,/awards/effie_latam/2025/campaigns/el-precio-kimberly-despertando-a-todo-un-pais-para-ver-marcha-atletica-de-madrugada-plazavea-fahrenheit-ddb-2025/
Effie Awards Latam,2025,Single-Market,Latam Airlines - Lady Gaga,Latam Airlines,MRM y WMcCann,Jazz Side/Somos Fans,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/latam-airlines-lady-gaga-latam-airlines-mrm-y-wmccann-2025/
Effie Awards Latam,2025,Single-Market,Arrepentidos,Entel,McCann Chile,PHD/Meat,Beauty & Wellness,Chile,Shortlist,/awards/effie_latam/2025/campaigns/arrepentidos-entel-mccann-chile-2025/
Effie Awards Latam,2025,Single-Market,Patrocinio boca sucia,CIF,Droga5 São Paulo,Initiative Brasil,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/patrocinio-boca-sucia-cif-droga5-sao-paulo-2025/
Effie Awards Latam,2025,Single-Market,Dove - only available in Brazil,Dove,David Agency y Tastemakers Assessoria De Comunicacao LTDA,Initiative/BR Media Group,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dove-only-available-in-brazil-dove-david-agency-y-tastemakers-assessoria-de-comunicacao-ltda-2025/
Effie Awards Latam,2025,Single-Market,Switch de saboresConfuso hasta probarlas,Switch de Sabores,BBDO México,,Beauty & Wellness,México,Shortlist,/awards/effie_latam/2025/campaigns/switch-de-saboresconfuso-hasta-probarlas-switch-de-sabores-bbdo-mexico-2025/
Effie Awards Latam,2025,Single-Market,Fiat De un limón una goleada,Fiat,Leo Burnett Tailor Made,Globo Comunicacao e Participacoes,Beauty & Wellness,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fiat-de-un-limon-una-goleada-fiat-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,Medusa La serie que se auto-censuró,Netflix,Sancho BBDO,Flare BBDO,Media companies & entertainment,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/medusa-la-serie-que-se-auto-censuro-netflix-sancho-bbdo-2025-2/
Effie Awards Latam,2025,Single-Market,Pedigree Caramelo el mestizo amado de Brasil ahora tiene Pedigree,Pedigree,AlmapBBDO,,Pet care,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/pedigree-caramelo-el-mestizo-amado-de-brasil-ahora-tiene-pedigree-pedigree-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Report this ad,Veris,Paradais DDB,,Healthcare,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/report-this-ad-veris-paradais-ddb-2025/
Effie Awards Latam,2025,Single-Market,Glowing relief,Alivia Health,De la Cruz Ogilvy,,Healthcare,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-2025/
Effie Awards Latam,2025,Single-Market,El 7 mujeres la película que desenmascaró al asesino silencioso del VPH,MSD Colombia,McCann Worldgroup Colombia y Weber Shandwick Colombia,Performer /Craft Colombia,Healthcare,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/el-7-mujeres-la-pelicula-que-desenmascaro-al-asesino-silencioso-del-vph-msd-colombia-mccann-worldgroup-colombia-y-weber/
Effie Awards Latam,2025,Single-Market,Sensodyne limpia placas,Sensodyne,Publicis LeOne,,Healthcare,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/sensodyne-limpia-placas-sensodyne-publicis-leone-2025/
Effie Awards Latam,2025,Single-Market,Clear the Air,Listerine,UM Brasil (Brasil),Spark,Healthcare,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/clear-the-air-listerine-um-brasil-brasil-2025/
Effie Awards Latam,2025,Single-Market,La reserva rosa,La Liga Rosa,Rosado Toledo &,mesa 24/7,Healthcare,Perú,Shortlist,/awards/effie_latam/2025/campaigns/la-reserva-rosa-la-liga-rosa-rosado-toledo-and-2025/
Effie Awards Latam,2025,Single-Market,The test list,Grupo Omint,TombrasNiña,,Healthcare,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/the-test-list-grupo-omint-tombrasnina-2025/
Effie Awards Latam,2025,Single-Market,Realty for gamers,Minutocorp,Garnier BBDO,,Healthcare,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/realty-for-gamers-minutocorp-garnier-bbdo-2025/
Effie Awards Latam,2025,Single-Market,Tacorcholata,Victoria,Wieden + Kennedy,Wieden + Kennedy,Healthcare,México,Shortlist,/awards/effie_latam/2025/campaigns/tacorcholata-victoria-wieden-kennedy-2025-2/
Effie Awards Latam,2025,Single-Market,Equinox EV,Equinox EV,McCann Worldgroup México,MRM,Healthcare,México,Shortlist,/awards/effie_latam/2025/campaigns/equinox-ev-equinox-ev-mccann-worldgroup-mexico-2025/
Effie Awards Latam,2025,Single-Market,Promesas absurdas,ASDRA,VML,,Healthcare,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/promesas-absurdas-asdra-vml-2025/
Effie Awards Latam,2025,Single-Market,Próxima estación Ikea,Ikea,Havas Hoy,Arena Media,Healthcare,México,Shortlist,/awards/effie_latam/2025/campaigns/proxima-estacion-ikea-ikea-havas-hoy-2025/
Effie Awards Latam,2025,Single-Market,El secreto de la TV como generador de tráfico digital,Mercado Libre,UM,Meet Super/Gut Agency (México),Healthcare,México,Shortlist,/awards/effie_latam/2025/campaigns/el-secreto-de-la-tv-como-generador-de-trafico-digital-mercado-libre-um-2025/
Effie Awards Latam,2025,Single-Market,El algoritmo que no entendía a la Gen Z,Tuenti,Havas Group,VML,Healthcare,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/el-algoritmo-que-no-entendia-a-la-gen-z-tuenti-havas-group-2025/
Effie Awards Latam,2025,Single-Market,Democracia a la carta,La Hija del Pollero,MullenLowe Interamérica,,Healthcare,República Dominicana,Shortlist,/awards/effie_latam/2025/campaigns/democracia-a-la-carta-la-hija-del-pollero-mullenlowe-interamerica-2025/
Effie Awards Latam,2025,Single-Market,Andina Patrocinador oficial del fútbol NO profesional colombiano,Cerveza Andina,Sancho BBDO y OMD,,Healthcare,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/andina-patrocinador-oficial-del-futbol-no-profesional-colombiano-cerveza-andina-sancho-bbdo-y-omd-2025-2/
Effie Awards Latam,2025,Single-Market,Algoritmos,Tuenti,VML Argentina,Havas Group,Healthcare,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/algoritmos-tuenti-vml-argentina-2025/
Effie Awards Latam,2025,Single-Market,Domicilios con descuentos,TaDa y Cervepar,Wild Fi,Renovatio Films,Direct to consumer,Paraguay,Shortlist,/awards/effie_latam/2025/campaigns/domicilios-con-descuentos-tada-y-cervepar-wild-fi-2025/
Effie Awards Latam,2025,Single-Market,Glowing relief,Alivia Health,De la Cruz Ogilvy,,Direct to consumer,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-2025-2/
Effie Awards Latam,2025,Single-Market,El sonido del divorcio,Calm es Simple,Ogilvy & Mather,,Direct to consumer,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/el-sonido-del-divorcio-calm-es-simple-ogilvy-and-mather-2025/
Effie Awards Latam,2025,Single-Market,Dancing washers,Whirlpool,VML,,Retail media,México,Shortlist,/awards/effie_latam/2025/campaigns/dancing-washers-whirlpool-vml-2025/
Effie Awards Latam,2025,Single-Market,Te cambia la vida,On City,VML,Havas Argentina,Retail media,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/te-cambia-la-vida-on-city-vml-2025/
Effie Awards Latam,2025,Single-Market,W1ngCod3s,Volaris,Havas Hoy,,Retail media,México,Shortlist,/awards/effie_latam/2025/campaigns/w1ngcod3s-volaris-havas-hoy-2025/
Effie Awards Latam,2025,Single-Market,Flavorhood,Sompopo,Ogilvy Honduras,,Retail media,Honduras,Shortlist,/awards/effie_latam/2025/campaigns/flavorhood-sompopo-ogilvy-honduras-2025/
Effie Awards Latam,2025,Single-Market,Skip Ad show,Emma / Gollo,Interaction,,Retail media,Costa Rica,Shortlist,/awards/effie_latam/2025/campaigns/skip-ad-show-emma-gollo-interaction-2025/
Effie Awards Latam,2025,Single-Market,Dancing washers,Whirlpool,VML,,Electronic & durables,México,Shortlist,/awards/effie_latam/2025/campaigns/dancing-washers-whirlpool-vml-2025-2/
Effie Awards Latam,2025,Single-Market,Te cambia la vida,On City,VML Argentina,Havas Argentina,Electronic & durables,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/te-cambia-la-vida-on-city-vml-argentina-2025/
Effie Awards Latam,2025,Single-Market,Andina Patrocinador oficial del fútbol NO profesional colombiano,Cerveza Andina,Sancho BBDO y OMD,,Electronic & durables,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/andina-patrocinador-oficial-del-futbol-no-profesional-colombiano-cerveza-andina-sancho-bbdo-y-omd-2025-3/
Effie Awards Latam,2025,Single-Market,Lag or bad,Xtrim,Paradais DDB,Broootv,Electronic & durables,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/lag-or-bad-xtrim-paradais-ddb-2025/
Effie Awards Latam,2025,Single-Market,Latam Airlines - Lady Gaga,Latam Airlines,MRM y WMcCann,Jazz Side/Somos Fans,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/latam-airlines-lady-gaga-latam-airlines-mrm-y-wmccann-2025-2/
Effie Awards Latam,2025,Single-Market,Pedigree Caramelo el mestizo amado de Brasil ahora tiene Pedigree,Pedigree,AlmapBBDO,,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/pedigree-caramelo-el-mestizo-amado-de-brasil-ahora-tiene-pedigree-pedigree-almapbbdo-2025-2/
Effie Awards Latam,2025,Single-Market,Abogados BK Taste,Burger King,AlmapBBDO,Jotacom/Streetwise,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/abogados-bk-taste-burger-king-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Car parts for life,Fundación Stefano y Plaza Las Américas y Del Caribe,De la Cruz Ogilvy,,Electronic & durables,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/car-parts-for-life-fundacion-stefano-y-plaza-las-americas-y-del-caribe-de-la-cruz-ogilvy-2025/
Effie Awards Latam,2025,Single-Market,Al verano llegamos todas,Dove,VML Argentina y Media Lab Agency,Initiative Argentina,Electronic & durables,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/al-verano-llegamos-todas-dove-vml-argentina-y-media-lab-agency-2025/
Effie Awards Latam,2025,Single-Market,Dungeons & dragons - El episodio perdido,Hasbro,Ogilvy & Mather,Jovem Nerd/Os Bonequinhos,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dungeons-and-dragons-el-episodio-perdido-hasbro-ogilvy-and-mather-2025/
Effie Awards Latam,2025,Single-Market,Bis - the whatsapp saga,BIS,David,Hogarth Brasil/SMARTE,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/bis-the-whatsapp-saga-bis-david-2025/
Effie Awards Latam,2025,Single-Market,DogYurt Justicia perruna,Alpina,Sancho BBDO y Starcom,Italcol de Occidente SAS/ Llorente / Cuenca S,Electronic & durables,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/dogyurt-justicia-perruna-alpina-sancho-bbdo-y-starcom-2025/
