Festival,Year,Track,Title,Brand,Agency,Agency contributing,Award,Permalink
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,Todos los cuerpos son de verano,Dove,VML y Media Lab Agency,Initiative Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/todos-los-cuerpos-son-de-verano-dove-vml-y-media-lab-agency-2025-2/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,Vacaciones sin chicos,Missing Children Argentina,di Paola Latina,,Shortlist,/awards/effie_argentina/2025/campaigns/vacaciones-sin-chicos-missing-children-argentina-di-paola-latina-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,Undeleted,Dove,VML y Media Lab Agency,Bien Buenos Aires - Initiative Argentina - MamA HAongara,Shortlist,/awards/effie_argentina/2025/campaigns/undeleted-dove-vml-y-media-lab-agency-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,2minutos4segundos,Villavicencio Aguas de Origen,Digitas,Havas Argentina - Ninch Communication Company,Shortlist,/awards/effie_argentina/2025/campaigns/2minutos4segundos-villavicencio-aguas-de-origen-digitas-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,El código Dove,Dove,Droga5 SAo Paulo e Initiative Argentina,VML - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/el-codigo-dove-dove-droga5-sao-paulo-e-initiative-argentina-2025-2/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,IgnorA responsablemente,Movistar,VML,Havas Plus - Creando Conciencia,Shortlist,/awards/effie_argentina/2025/campaigns/ignora-responsablemente-movistar-vml-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,The good hacker,ICBC,VML,,Shortlist,/awards/effie_argentina/2025/campaigns/the-good-hacker-icbc-vml-2025-2/
Effie Argentina,2025,Influencer marketing,Undeleted,Dove,VML y Media Lab Agency,Bien Buenos Aires - Initiative Argentina - MamA HAongara,Shortlist,/awards/effie_argentina/2025/campaigns/undeleted-dove-vml-y-media-lab-agency-2025-2/
Effie Argentina,2025,Influencer marketing,Cambia que algo bueno va a pasar,Pepsi,Zurda Agency,Rebolucion,Shortlist,/awards/effie_argentina/2025/campaigns/cambia-que-algo-bueno-va-a-pasar-pepsi-zurda-agency-2025/
Effie Argentina,2025,Influencer marketing,El palito viral,Grido,Winclap,,Shortlist,/awards/effie_argentina/2025/campaigns/el-palito-viral-grido-winclap-2025/
Effie Argentina,2025,Influencer marketing,Fan Wedding,Heineken,Ninch Communication Company y Publicis Buenos Aires,,Shortlist,/awards/effie_argentina/2025/campaigns/fan-wedding-heineken-ninch-communication-company-y-publicis-buenos-aires-2025/
Effie Argentina,2025,Influencer marketing,Fanatismo por Wos en el Kidzpalooza,Flow,Telecom Argentina,,Shortlist,/awards/effie_argentina/2025/campaigns/fanatismo-por-wos-en-el-kidzpalooza-flow-telecom-argentina-2025/
Effie Argentina,2025,Influencer marketing,Hidratando el algorAtmo,CeraVe,Wild Fi,Publicis Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/hidratando-el-algoratmo-cerave-wild-fi-2025/
Effie Argentina,2025,Influencer marketing,MamA Lucchetti de celebridad a influencer,Lucchetti,La America,,Shortlist,/awards/effie_argentina/2025/campaigns/mama-lucchetti-de-celebridad-a-influencer-lucchetti-la-america-2025/
Effie Argentina,2025,Influencer marketing,Manual de instrucciones,YPF,Mercado McCann,Virgen Films,Shortlist,/awards/effie_argentina/2025/campaigns/manual-de-instrucciones-ypf-mercado-mccann-2025-2/
Effie Argentina,2025,Influencer marketing,Quieren rock,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/quieren-rock-quilmes-draftline-bue-2025-2/
Effie Argentina,2025,Influencer marketing,Verificado por verificados,Movistar,VML,Havas Plus,Shortlist,/awards/effie_argentina/2025/campaigns/verificado-por-verificados-movistar-vml-2025/
Effie Argentina,2025,Influencer marketing,Vuelve Franco volvimos todos,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/vuelve-franco-volvimos-todos-mercado-libre-gut-2025/
Effie Argentina,2025,Influencer marketing,Yendo X Franco,Uber,OMD,Wieden Kennedy,Shortlist,/awards/effie_argentina/2025/campaigns/yendo-x-franco-uber-omd-2025/
Effie Argentina,2025,Influencer marketing,YPF team radio,YPF,David Buenos Aires,,Shortlist,/awards/effie_argentina/2025/campaigns/ypf-team-radio-ypf-david-buenos-aires-2025/
Effie Argentina,2025,Integración estratAgica de marcas,El sexo reactiva la economAa,TulipAn,Zurda Agency,Retina,Shortlist,/awards/effie_argentina/2025/campaigns/el-sexo-reactiva-la-economaa-tulipan-zurda-agency-2025-2/
Effie Argentina,2025,Integración estratAgica de marcas,Franco delivered,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/franco-delivered-mercado-libre-gut-2025/
Effie Argentina,2025,Integración estratAgica de marcas,Franco delivered,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/franco-delivered-mercado-libre-gut-2025-2/
Effie Argentina,2025,Integración estratAgica de marcas,Mundial de clubes,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/mundial-de-clubes-quilmes-draftline-bue-2025-2/
Effie Argentina,2025,Integración estratAgica de marcas,Palo x Palo,Naranja X,Becoming ModeNro 3 NAomero Tres,Plenty - Noroeste,Shortlist,/awards/effie_argentina/2025/campaigns/palo-x-palo-naranja-x-becoming-modenro-3-naomero-tres-2025/
Effie Argentina,2025,Integración estratAgica de marcas,El poder de la dulzura,Axe,Catch e Initiative,Amaze,Shortlist,/awards/effie_argentina/2025/campaigns/el-poder-de-la-dulzura-axe-catch-e-initiative-2025-2/
Effie Argentina,2025,Integración estratAgica de marcas,Gatorade cool seats,Gatorade Genosha - Altro Sport,R - GA Media Group,,Shortlist,/awards/effie_argentina/2025/campaigns/gatorade-cool-seats-gatorade-genosha-altro-sport-r-ga-media-group-2025/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,El poder de la dulzura,Axe,Initiative Argentina y Catch,LOLA MullenLowe,Shortlist,/awards/effie_argentina/2025/campaigns/el-poder-de-la-dulzura-axe-initiative-argentina-y-catch-2025/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,Mini rooms,Motorola,Newsan,Quiroga,Shortlist,/awards/effie_argentina/2025/campaigns/mini-rooms-motorola-newsan-2025-2/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,Mogul gelibeans Pedilas como quieras pero probalas,Arcor,VML,Zenith - Publicis Groupe - Kinesso - di Paola Latina,Shortlist,/awards/effie_argentina/2025/campaigns/mogul-gelibeans-pedilas-como-quieras-pero-probalas-arcor-vml-2025/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,Mogul gelibeans Pedilas como quieras pero probalas,los que not,Para los que entrenan y,,Shortlist,/awards/effie_argentina/2025/campaigns/mogul-gelibeans-pedilas-como-quieras-pero-probalas-los-que-not-para-los-que-entrenan-y-2025/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,Mogul gelibeans Pedilas como quieras pero probalas,NotCo,Zurda Agency,,Shortlist,/awards/effie_argentina/2025/campaigns/mogul-gelibeans-pedilas-como-quieras-pero-probalas-notco-zurda-agency-2025/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,RAD mototemAticos,YPF,Zurda Agency,Sentidos - Argentina Cine,Shortlist,/awards/effie_argentina/2025/campaigns/rad-mototematicos-ypf-zurda-agency-2025-2/
Effie Argentina,2025,Lanzamientos de nuevas marcas productos o servicios,RAD mototemAticos,el Hogar,Mantenimiento y Accesorios,,Shortlist,/awards/effie_argentina/2025/campaigns/rad-mototematicos-el-hogar-mantenimiento-y-accesorios-2025/
Effie Argentina,2025,Marketing de actualidad,Colapinta,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/colapinta-quilmes-draftline-bue-2025/
Effie Argentina,2025,Marketing de actualidad,Dólar Diarco,Diarco,BB agencia,Muchnik - Password,Shortlist,/awards/effie_argentina/2025/campaigns/dolar-diarco-diarco-bb-agencia-2025/
Effie Argentina,2025,Marketing de actualidad,El código Dove,Dove,Droga5 SAo Paulo e Initiative Argentina,VML - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/el-codigo-dove-dove-droga5-sao-paulo-e-initiative-argentina-2025-3/
Effie Argentina,2025,Marketing de actualidad,Gauchada Honda,Honda,AlmacAn y Human Connections Media,Roommate,Shortlist,/awards/effie_argentina/2025/campaigns/gauchada-honda-honda-almacan-y-human-connections-media-2025/
Effie Argentina,2025,Marketing de actualidad,LudopatAa digital,Movistar,VML,Faro Digital - Havas Plus,Shortlist,/awards/effie_argentina/2025/campaigns/ludopataa-digital-movistar-vml-2025-2/
Effie Argentina,2025,Marketing de actualidad,Vuelve Franco volvimos todos,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/vuelve-franco-volvimos-todos-mercado-libre-gut-2025-2/
Effie Argentina,2025,Marketing de actualidad,YacarA,Brahma,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/yacara-brahma-draftline-bue-2025/
Effie Argentina,2025,Marketing de actualidad,YPF team radio,YPF,David Buenos Aires,,Shortlist,/awards/effie_argentina/2025/campaigns/ypf-team-radio-ypf-david-buenos-aires-2025-2/
Effie Argentina,2025,Marketing de actualidad,Undeleted,Dove,VML y Media Lab Agency,Bien Buenos Aires - Initiative Argentina - MamA HAongara,Shortlist,/awards/effie_argentina/2025/campaigns/undeleted-dove-vml-y-media-lab-agency-2025-3/
Effie Argentina,2025,Marketing de actualidad,CamiA3n dorado,YPF,Isla,Rebolucion,Shortlist,/awards/effie_argentina/2025/campaigns/camia3n-dorado-ypf-isla-2025-2/
Effie Argentina,2025,Marketing de actualidad,Gatorade cool seats,Gatorade,R-GA Media Group,Genosha - Altro Sport,Shortlist,/awards/effie_argentina/2025/campaigns/gatorade-cool-seats-gatorade-r-ga-media-group-2025/
Effie Argentina,2025,Marketing de actualidad,Gauchada Honda,Honda,AlmacAn y Human Connections Media,Roommate,Shortlist,/awards/effie_argentina/2025/campaigns/gauchada-honda-honda-almacan-y-human-connections-media-2025-2/
Effie Argentina,2025,Marketing de actualidad,El Aguila es Bandera,Fernet Branca,Super Agency,Ninch,Shortlist,/awards/effie_argentina/2025/campaigns/el-aguila-es-bandera-fernet-branca-super-agency-2025/
Effie Argentina,2025,Marketing de actualidad,Mundial de clubes,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/mundial-de-clubes-quilmes-draftline-bue-2025-3/
Effie Argentina,2025,Marketing de actualidad,Quilmes rock,Quilmes,draftLine BUE,La America Buenos Aires,Shortlist,/awards/effie_argentina/2025/campaigns/quilmes-rock-quilmes-draftline-bue-2025/
Effie Argentina,2025,Marketing de actualidad,Todos los cuerpos son de verano,Dove,VML y Media Lab Agency,Initiative Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/todos-los-cuerpos-son-de-verano-dove-vml-y-media-lab-agency-2025-3/
Effie Argentina,2025,Marketing de actualidad,Tus vacaciones empiezan en YPF,YPF,Liebre,,Shortlist,/awards/effie_argentina/2025/campaigns/tus-vacaciones-empiezan-en-ypf-ypf-liebre-2025/
Effie Argentina,2025,Marketing de actualidad,Undeleted,Dove,VML y Media Lab Agency,Bien Buenos Aires - Initiative Argentina - MamA HAongara,Shortlist,/awards/effie_argentina/2025/campaigns/undeleted-dove-vml-y-media-lab-agency-2025-4/
Effie Argentina,2025,Marketing de actualidad,Pagar con Visa desde el celu sin contacto garpa,Visa,Digitas Buenos Aires y Creactive Hub,Starcom Argentina - The Pub - Real Agency - Rebolucion,Shortlist,/awards/effie_argentina/2025/campaigns/pagar-con-visa-desde-el-celu-sin-contacto-garpa-visa-digitas-buenos-aires-y-creactive-hub-2025/
Effie Argentina,2025,Marketing de actualidad,CamiA3n dorado,YPF,Isla,Rebolucion,Shortlist,/awards/effie_argentina/2025/campaigns/camia3n-dorado-ypf-isla-2025-3/
Effie Argentina,2025,Marketing de actualidad,Chapas rockeras,Quilmes,La AmArica,,Shortlist,/awards/effie_argentina/2025/campaigns/chapas-rockeras-quilmes-la-amarica-2025/
Effie Argentina,2025,Marketing de actualidad,Cuando McDonalds retruca,McDonalds,TBWA Buenos Aires,Starcom - LATCOM - Publico Press Group - Nazer,Shortlist,/awards/effie_argentina/2025/campaigns/cuando-mcdonalds-retruca-mcdonalds-tbwa-buenos-aires-2025/
Effie Argentina,2025,Marketing de actualidad,El sexo reactiva la economAa,TulipAn,Zurda Agency,Retina,Shortlist,/awards/effie_argentina/2025/campaigns/el-sexo-reactiva-la-economaa-tulipan-zurda-agency-2025-3/
Effie Argentina,2025,Marketing de actualidad,Gestito,Andes Origen,New London,Impero BA,Shortlist,/awards/effie_argentina/2025/campaigns/gestito-andes-origen-new-london-2025/
Effie Argentina,2025,Marketing de actualidad,Manual de instrucciones,YPF,Mercado McCann,Virgen Films,Shortlist,/awards/effie_argentina/2025/campaigns/manual-de-instrucciones-ypf-mercado-mccann-2025-3/
Effie Argentina,2025,Marketing de actualidad,ShellBox como piloto del viaje a la nostalgia,Shell,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/shellbox-como-piloto-del-viaje-a-la-nostalgia-shell-don-by-havas-2025/
Effie Argentina,2025,Marketing de actualidad,Te Leo Messi,YPF,Mercado McCann,Virgen Films,Shortlist,/awards/effie_argentina/2025/campaigns/te-leo-messi-ypf-mercado-mccann-2025-2/
Effie Argentina,2025,Programa de Fidelización,Burga hack,YPF,Ninch Communication Company,,Shortlist,/awards/effie_argentina/2025/campaigns/burga-hack-ypf-ninch-communication-company-2025/
Effie Argentina,2025,Programa de Fidelización,ShellBox como piloto del viaje a la nostalgia,Shell,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/shellbox-como-piloto-del-viaje-a-la-nostalgia-shell-don-by-havas-2025-2/
Effie Argentina,2025,Real Time Marketing,Colapinta,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/colapinta-quilmes-draftline-bue-2025-2/
Effie Argentina,2025,Real Time Marketing,Dólar Diarco,Diarco,BB agencia,Muchnik - Password,Shortlist,/awards/effie_argentina/2025/campaigns/dolar-diarco-diarco-bb-agencia-2025-2/
Effie Argentina,2025,Real Time Marketing,Vai comer 4 de novo - cambiando el sabor de una derrota por el de 4 stackers,,The Juju,,Shortlist,/awards/effie_argentina/2025/campaigns/vai-comer-4-de-novo-cambiando-el-sabor-de-una-derrota-por-el-de-4-stackers-the-juju-2025/
Effie Argentina,2025,Real Time Marketing,Vuelve Franco volvimos todos,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/vuelve-franco-volvimos-todos-mercado-libre-gut-2025-3/
Effie Argentina,2025,Reputación corporativa,Big-Bang,Mercado Libre,Gut,Rebolucion - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/big-bang-mercado-libre-gut-2025/
Effie Argentina,2025,Reputación corporativa,El momento de la verdad,OSDE,Zurda Agency,Argentina Cine - Quiroga Medios - DKS - Pulmon,Shortlist,/awards/effie_argentina/2025/campaigns/el-momento-de-la-verdad-osde-zurda-agency-2025/
Effie Argentina,2025,Reputación corporativa,Estoy acA,La SerenAsima ClAsico,VML,,Shortlist,/awards/effie_argentina/2025/campaigns/estoy-aca-la-serenasima-clasico-vml-2025/
Effie Argentina,2025,Reputación corporativa,Mini rooms,Motorola,Newsan,Quiroga,Shortlist,/awards/effie_argentina/2025/campaigns/mini-rooms-motorola-newsan-2025-3/
Effie Argentina,2025,Reputación corporativa,Cuando McDonalds retruca,McDonalds,TBWA Buenos Aires,Starcom - LATCOM - Publico Press Group - Nazer,Shortlist,/awards/effie_argentina/2025/campaigns/cuando-mcdonalds-retruca-mcdonalds-tbwa-buenos-aires-2025-2/
Effie Argentina,2025,Reputación corporativa,McDonalds Tasty feat Cuarto,McDonalds,TBWA Buenos Aires,Starcom - LATCOM - Publico Press Group - Nazer,Shortlist,/awards/effie_argentina/2025/campaigns/mcdonalds-tasty-feat-cuarto-mcdonalds-tbwa-buenos-aires-2025/
Effie Argentina,2025,Reputación corporativa,Dólar Diarco,Diarco,BB agencia,Muchnik - Password,Shortlist,/awards/effie_argentina/2025/campaigns/dolar-diarco-diarco-bb-agencia-2025-3/
Effie Argentina,2025,Reputación corporativa,Tus vacaciones empiezan en YPF,YPF,Liebre,,Shortlist,/awards/effie_argentina/2025/campaigns/tus-vacaciones-empiezan-en-ypf-ypf-liebre-2025-2/
Effie Argentina,2025,Reputación corporativa,El momento de la verdad,OSDE,Zurda Agency,Argentina Cine - Quiroga Medios - DKS - Pulmon,Shortlist,/awards/effie_argentina/2025/campaigns/el-momento-de-la-verdad-osde-zurda-agency-2025-2/
Effie Argentina,2025,Reputación corporativa,Sin excusas,Medifé,Enero Comunicación,Comunicaciones Sudamericanas,Shortlist,/awards/effie_argentina/2025/campaigns/sin-excusas-medife-enero-comunicacion-2025/
Effie Argentina,2025,Servicios Financieros,De la razA3n al corazón el giro que cambiA3 el vAnculo de Santander con las Pymes,Santander,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/de-la-raza3n-al-corazon-el-giro-que-cambia3-el-vanculo-de-santander-con-las-pymes-santander-don-by-havas-2025/
Effie Argentina,2025,Servicios Financieros,De palabra rara a opción obvia el prástamo prendario de Santander se volviA3 cultura,Santander,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/de-palabra-rara-a-opcion-obvia-el-prastamo-prendario-de-santander-se-volvia3-cultura-santander-don-by-havas-2025/
Effie Argentina,2025,Servicios Financieros,El fin de la discusiA3n paga el que tiene la de Santander,Santander,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/el-fin-de-la-discusia3n-paga-el-que-tiene-la-de-santander-santander-don-by-havas-2025/
Effie Argentina,2025,Servicios Financieros,RatA3n PArez,Galicia,Mercado McCann,Welcome Content,Shortlist,/awards/effie_argentina/2025/campaigns/rata3n-parez-galicia-mercado-mccann-2025/
Effie Argentina,2025,Servicios Financieros,Salva GalAn,Naranja X,Becoming ModeyNro3 NAomero Tres,Primo Content - Papamusic - Eddie Sierra,Shortlist,/awards/effie_argentina/2025/campaigns/salva-galan-naranja-x-becoming-modeynro3-naomero-tres-2025/
Effie Argentina,2025,Servicios Financieros,El momento de la verdad,OSDE,Zurda Agency,Argentina Cine - Quiroga Medios - DKS - Pulmon,Shortlist,/awards/effie_argentina/2025/campaigns/el-momento-de-la-verdad-osde-zurda-agency-2025-3/
Effie Argentina,2025,Social media,Full fandom pistacho,YPF,Ninch Communication Company,,Shortlist,/awards/effie_argentina/2025/campaigns/full-fandom-pistacho-ypf-ninch-communication-company-2025-2/
Effie Argentina,2025,Social media,Hidratando el algoritmo,CeraVe,Wild Fi,Publicis Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/hidratando-el-algoritmo-cerave-wild-fi-2025-2/
Effie Argentina,2025,Social media,Historias de reparación,Dove,VML Argentina e Iniciative Argentina,Paramount - Mercado ads - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/historias-de-reparacion-dove-vml-argentina-e-iniciative-argentina-2025/
Effie Argentina,2025,Social media,Mamá Lucchetti de celebridad a influencer,Lucchetti,La America,,Shortlist,/awards/effie_argentina/2025/campaigns/mama-lucchetti-de-celebridad-a-influencer-lucchetti-la-america-2025-2/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Boxed ads,Mercado Libre,Gut,UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/boxed-ads-mercado-libre-gut-2025-2/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Boxed ads,el break del laburante,MAs energAa,,Shortlist,/awards/effie_argentina/2025/campaigns/boxed-ads-el-break-del-laburante-mas-energaa-2025/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Boxed ads,Rockstar,Febrero,,Shortlist,/awards/effie_argentina/2025/campaigns/boxed-ads-rockstar-febrero-2025/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Mogul gelibeans Pedilas como quieras pero probalas,Arcor,VML,Zenith - Publicis Groupe - Kinesso - di Paola Latina,Shortlist,/awards/effie_argentina/2025/campaigns/mogul-gelibeans-pedilas-como-quieras-pero-probalas-arcor-vml-2025-2/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Verificado por verificados,Movistar,VML,Havas Plus,Shortlist,/awards/effie_argentina/2025/campaigns/verificado-por-verificados-movistar-vml-2025-2/
Effie Argentina,2025,Soluciones de Innovación en Marketing,Wi-Fi Hogar,Personal,Gut,Argentina Cine,Shortlist,/awards/effie_argentina/2025/campaigns/wi-fi-hogar-personal-gut-2025/
Effie Argentina,2025,VehAculos,Gauchada Honda,Honda,AlmacAn y Human Connections Media,Roommate,Shortlist,/awards/effie_argentina/2025/campaigns/gauchada-honda-honda-almacan-y-human-connections-media-2025-3/
