Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award,Permalink
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Edicion,AliceFilmes,Independientes,INDEPENDIENTE,Vida Solo Existe Una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Bronce,/awards/fiap/2023/campaigns/vida-solo-existe-una-fca-fiat-chrysler-automoveis-brasil-ltda-alicefilmes-2023-2/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,AliceFilmes,Independientes,INDEPENDIENTE,O Boticario - Isla,Brasil,O Boticario,ALICEFILMES LTDA,Bronce,/awards/fiap/2023/campaigns/o-boticario-isla-o-boticario-alicefilmes-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,AliceFilmes,Independientes,INDEPENDIENTE,Vida solo existe una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Bronce,/awards/fiap/2023/campaigns/vida-solo-existe-una-fca-fiat-chrysler-automoveis-brasil-ltda-alicefilmes-2023-3/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Archer Troy,Independientes,INDEPENDIENTE,Who is the Minority cabrones,Mexico,Amazon Prime Video,El Cielo,Bronce,/awards/fiap/2023/campaigns/who-is-the-minority-cabrones-amazon-prime-video-archer-troy-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Lopez Negrete Communcations,Independientes,INDEPENDIENTE,The Miles that Unite Us,US hispanic,Hyundai Motor America,,Bronce,/awards/fiap/2023/campaigns/the-miles-that-unite-us-hyundai-motor-america-lopez-negrete-communcations-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Musica Adaptada - Musica Original - Diseno de Sonido - Canciones - Jingles - Audio Logo - Uso de Licencias,Conill,Saatchi Saatchi,PUBLICIS GROUPE,Sleeping,EE UU,Toyota Motor North America USA Inc,Morton Jankel Zander MJZ,Bronce,/awards/fiap/2023/campaigns/sleeping-toyota-motor-north-america-usa-inc-conill-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Musica Adaptada - Musica Original - Diseno de Sonido - Canciones - Jingles - Audio Logo - Uso de Licencias,DON,Independientes,INDEPENDIENTE,Primavera suena con Flow,Argentina,Telecom SA,Landia Films,Bronce,/awards/fiap/2023/campaigns/primavera-suena-con-flow-telecom-sa-don-2023-2/
FIAP,2023,Produccion,Tecnicas de Produccion de Plataformas Digitales-Redes Sociales,From,Independientes,INDEPENDIENTE,The Uncrashable Tucson,Uruguay,Hyundai Fidocar,Soy Simo,Bronce,/awards/fiap/2023/campaigns/the-uncrashable-tucson-hyundai-fidocar-from-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Direccion de Arte,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,The Infected Billboard,Mexico,HBO,GOMA,Bronce,/awards/fiap/2023/campaigns/the-infected-billboard-hbo-dentsu-creative-mexico-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Direccion de Arte,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Bronce,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-2/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Direccion de Arte,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Bronce,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-2/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Fotografia,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Bronce,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-3/
FIAP,2023,Innovacion,Innovacion en Tecnologia,Cheil Worldwide,Cheil,CHEIL,Samsung Unfear,Espana,Samsung Espana,Somos 5,Oro,/awards/fiap/2023/campaigns/samsung-unfear-samsung-espana-cheil-worldwide-2023/
FIAP,2023,Innovacion,Estudiantes,The Pub School,Escuela,INDEPENDIENTE,CelebriTales AI,Ecuador,Spotify,,Oro,/awards/fiap/2023/campaigns/celebritales-ai-spotify-the-pub-school-2023/
FIAP,2023,Innovacion,Innovacion en campanas sobre sostenibilidad,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro,/awards/fiap/2023/campaigns/eart4-united-nations-global-compact-b3-stock-exchange-almapbbdo-2023/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,GREY,AKQA Group-GREY,WPP,Stickers Salvavidas,Colombia,Makro Colombia,Townhouse - Whiskey,Oro,/awards/fiap/2023/campaigns/stickers-salvavidas-makro-colombia-grey-2023/
FIAP,2023,Innovacion,Innovacion en Mobile,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro,/awards/fiap/2023/campaigns/scrolling-therapy-eurofarma-dentsu-creative-argentina-2023/
FIAP,2023,Innovacion,Innovacion en PR,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Oro,/awards/fiap/2023/campaigns/sopa-de-senas-grupo-la-moderna-beso-by-llyc-2023/
FIAP,2023,Innovacion,Innovacion en Radio,Havas GURISA,Havas Creative,HAVAS,Podes comprarte una radio,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Oro,/awards/fiap/2023/campaigns/podes-comprarte-una-radio-loterias-y-quinielas-del-uruguay-havas-gurisa-2023/
FIAP,2023,Innovacion,Salud,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro,/awards/fiap/2023/campaigns/scrolling-therapy-eurofarma-dentsu-creative-argentina-2023-2/
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,Fahrenheit DDB,DDB Worldwide,OMNICOM,E-nterpreters Season 2,Peru,AB InBev,Fahrenheit Content,Oro,/awards/fiap/2023/campaigns/e-nterpreters-season-2-ab-inbev-fahrenheit-ddb-2023-2/
FIAP,2023,Innovacion,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Behind the Draw,Colombia,Google,,Plata,/awards/fiap/2023/campaigns/behind-the-draw-google-bendita-carpeta-2023/
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,From,Independientes,INDEPENDIENTE,The Uncrashable Tucson,Uruguay,Hyundai Fidocar,Soy Simo,Plata,/awards/fiap/2023/campaigns/the-uncrashable-tucson-hyundai-fidocar-from-2023-2/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Plata,/awards/fiap/2023/campaigns/shoppable-armpits-unilever-wunderman-thompson-argentina-2023/
FIAP,2023,Innovacion,Innovacion en Mobile,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Plata,/awards/fiap/2023/campaigns/redesigning-for-e-nclusion-supermercados-peruanos-fahrenheit-ddb-2023/
FIAP,2023,Innovacion,Innovacion en Mobile,Cheil Worldwide,Cheil,CHEIL,Samsung Unfear,Espana,Samsung Espana,Somos 5,Plata,/awards/fiap/2023/campaigns/samsung-unfear-samsung-espana-cheil-worldwide-2023-2/
FIAP,2023,Innovacion,Innovacion en Musica,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Plata,/awards/fiap/2023/campaigns/corrido-of-duty-activision-blizzard-archer-troy-2023/
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Le Pub Brasil,Publicis Worldwide,PUBLICIS GROUPE,Solar Billboards,Brasil,Grupo Heineken,MOE - Be180,Plata,/awards/fiap/2023/campaigns/solar-billboards-grupo-heineken-le-pub-brasil-2023/
FIAP,2023,Innovacion,Innovacion en plataformas digitales,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Plata,/awards/fiap/2023/campaigns/harassment-advisory-loreal-paris-wmccann-2023/
FIAP,2023,Innovacion,Innovacion en Redes Sociales,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Plata,/awards/fiap/2023/campaigns/shoppable-armpits-unilever-wunderman-thompson-argentina-2023-2/
FIAP,2023,Innovacion,Innovacion en Tecnologia,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Plata,/awards/fiap/2023/campaigns/scrolling-therapy-eurofarma-dentsu-creative-argentina-2023-3/
FIAP,2023,Innovacion,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Plata,/awards/fiap/2023/campaigns/jingle-therapy-asociacion-de-alzheimer-de-pr-vmlyr-puerto-rico-2023/
FIAP,2023,Innovacion,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Twinkle Little Dogs,Mexico,Mars,,Bronce,/awards/fiap/2023/campaigns/twinkle-little-dogs-mars-bendita-carpeta-2023/
FIAP,2023,Innovacion,Estudiantes,Bendita carpeta,Escuela,INDEPENDIENTE,Uninjured Steps,Venezuela,Asics,,Bronce,/awards/fiap/2023/campaigns/uninjured-steps-asics-bendita-carpeta-2023/
FIAP,2023,Innovacion,Innovacion en campanas sobre sostenibilidad,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce,/awards/fiap/2023/campaigns/reusables-supermax-de-la-cruz-ogilvy-2023/
FIAP,2023,Innovacion,Innovacion en Eventos-Experiencia,Le Pub Brasil,Publicis Worldwide,PUBLICIS GROUPE,Game Bars,Brasil,Grupo Heineken,RedDoor,Bronce,/awards/fiap/2023/campaigns/game-bars-grupo-heineken-le-pub-brasil-2023/
FIAP,2023,Innovacion,Advergaming,BETC HAVAS,Havas Creative,HAVAS,PETRA MILK,Brasil,Grupo Petropolis,Merci Studios,Bronce,/awards/fiap/2023/campaigns/petra-milk-grupo-petropolis-betc-havas-2023/
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,De La Cruz - Ogilvy,Ogilvy,WPP,Operation Night Mission,Puerto Rico,Burger King,De La Cruz-Ogilvy,Bronce,/awards/fiap/2023/campaigns/operation-night-mission-burger-king-de-la-cruz-ogilvy-2023/
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Bronce,/awards/fiap/2023/campaigns/v-land-essity-mexico-dentsu-creative-mexico-2023/
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,SHIFT Porter Novelli,DAS Group of Companies,OMNICOM,BITCentenario The Costa Rica of the Future,Costa Rica,MICROSOFT,SHIFT Porter Novelli Inhouse,Bronce,/awards/fiap/2023/campaigns/bitcentenario-the-costa-rica-of-the-future-microsoft-shift-porter-novelli-2023/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,De La Cruz - Ogilvy,Ogilvy,WPP,Operation Night Mission,Puerto Rico,Burger King,De La Cruz-Ogilvy,Bronce,/awards/fiap/2023/campaigns/operation-night-mission-burger-king-de-la-cruz-ogilvy-2023-2/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Whopper Chase,Guatemala,Burger King Guatemala,R7,Bronce,/awards/fiap/2023/campaigns/whopper-chase-burger-king-guatemala-publicidad-comercial-mullenlowe-guatemala-2023/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,DON,Independientes,INDEPENDIENTE,Nombres mas simples,Argentina,Newsan SA,ORUGA,Bronce,/awards/fiap/2023/campaigns/nombres-mas-simples-newsan-sa-don-2023/
FIAP,2023,Innovacion,Innovacion en Medios Impresos,Made Mexico,Independientes,INDEPENDIENTE,Stay Alive Owners Manual,Mexico,Jeep,Oriental Films,Bronce,/awards/fiap/2023/campaigns/stay-alive-owners-manual-jeep-made-mexico-2023/
FIAP,2023,Innovacion,Innovacion en Mobile,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce,/awards/fiap/2023/campaigns/reusables-supermax-de-la-cruz-ogilvy-2023-2/
FIAP,2023,Innovacion,Innovacion en Mobile,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Bronce,/awards/fiap/2023/campaigns/v-land-essity-mexico-dentsu-creative-mexico-2023-2/
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,CYW,Independientes,INDEPENDIENTE,EL MURCIELAGO NOS UNE,Espana,HBO Max,,Bronce,/awards/fiap/2023/campaigns/el-murcielago-nos-une-hbo-max-cyw-2023/
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,From,Independientes,INDEPENDIENTE,Safety Measures,Uruguay,Fundacion Gonzalo Rodriguez,Apa Films,Bronce,/awards/fiap/2023/campaigns/safety-measures-fundacion-gonzalo-rodriguez-from-2023/
FIAP,2023,Innovacion,Innovacion en PR,GREY,AKQA Group-GREY,WPP,Ciudad Corrupcion,Colombia,Publimetro Colombia,Macarena Co,Bronce,/awards/fiap/2023/campaigns/ciudad-corrupcion-publimetro-colombia-grey-2023/
FIAP,2023,Innovacion,Innovacion en Redes Sociales,Athos,Independientes,INDEPENDIENTE,Banco de Donantes de Bolivia,Bolivia,Nacional Seguros,Suena Polenta - Photodelica,Bronce,/awards/fiap/2023/campaigns/banco-de-donantes-de-bolivia-nacional-seguros-athos-2023/
FIAP,2023,Innovacion,Innovacion en Redes Sociales,BeautifulBeast,Independientes,INDEPENDIENTE,Cancelen el Mundial,EE UU,Fundacion Cardiologica Argentina,Roommate Buenos Aires,Bronce,/awards/fiap/2023/campaigns/cancelen-el-mundial-fundacion-cardiologica-argentina-beautifulbeast-2023/
FIAP,2023,Innovacion,Salud,BBA,Independientes,INDEPENDIENTE,Harkay,Ecuador,PepsiCo,Fabryca,Bronce,/awards/fiap/2023/campaigns/harkay-pepsico-bba-2023/
FIAP,2023,Innovacion,Salud,Made Mexico,Independientes,INDEPENDIENTE,Stay Alive Owners Manual,Mexico,Jeep,Oriental Films,Bronce,/awards/fiap/2023/campaigns/stay-alive-owners-manual-jeep-made-mexico-2023-2/
FIAP,2023,Innovacion,Innovacion en Eventos-Experiencia,Fahrenheit DDB,DDB Worldwide,OMNICOM,Living Billboard,Peru,AB InBev,Fahrenheit Content,Bronce,/awards/fiap/2023/campaigns/living-billboard-ab-inbev-fahrenheit-ddb-2023/
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Buentipo Anchor - SEC Newgate,Independientes,INDEPENDIENTE,Hackeando la Espera - Club Colombia,Colombia,AB InBev Colombia - Bavaria,BTFilms,Bronce,/awards/fiap/2023/campaigns/hackeando-la-espera-club-colombia-ab-inbev-colombia-bavaria-buentipo-anchor-sec-newgate-2023/
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Fahrenheit DDB,DDB Worldwide,OMNICOM,Living Billboard,Peru,AB InBev,Fahrenheit Content,Bronce,/awards/fiap/2023/campaigns/living-billboard-ab-inbev-fahrenheit-ddb-2023-2/
FIAP,2023,Formatos,Business to Business Channel o Partner Marketing - B2B,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro,/awards/fiap/2023/campaigns/eart4-united-nations-global-compact-b3-stock-exchange-almapbbdo-2023-2/
FIAP,2023,Formatos,Estudiantes,Brother,Independientes,INDEPENDIENTE,Uneducated Doors,Peru,Brother Lima Escuela de Creativos,Brother Lima Escuela de Creativos,Oro,/awards/fiap/2023/campaigns/uneducated-doors-brother-lima-escuela-de-creativos-brother-2023/
FIAP,2023,Formatos,Medios Integrados-Contenido 360,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La mancha,Peru,Kimberly-Clark,KaO Films Content,Oro,/awards/fiap/2023/campaigns/la-mancha-kimberly-clark-valor-socios-de-marcas-2023/
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro,/awards/fiap/2023/campaigns/la-mancha-kimberly-clark-valor-socios-de-marcas-2023-2/
FIAP,2023,Formatos,Mejor Campana de Sostenibilidad,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro,/awards/fiap/2023/campaigns/eart4-united-nations-global-compact-b3-stock-exchange-almapbbdo-2023-3/
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro,/awards/fiap/2023/campaigns/la-mancha-kimberly-clark-valor-socios-de-marcas-2023-3/
FIAP,2023,Formatos,Music Content,BETC HAVAS,Havas Creative,HAVAS,Salve la Favela,Brasil,KondZilla Records,Santeria - KondZilla Records,Oro,/awards/fiap/2023/campaigns/salve-la-favela-kondzilla-records-betc-havas-2023-2/
FIAP,2023,Formatos,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro,/awards/fiap/2023/campaigns/jingle-therapy-asociacion-de-alzheimer-de-pr-vmlyr-puerto-rico-2023-2/
FIAP,2023,Formatos,Estudiantes,The Pub School,Escuela,INDEPENDIENTE,CelebriTales AI,Ecuador,Spotify,,Plata,/awards/fiap/2023/campaigns/celebritales-ai-spotify-the-pub-school-2023-2/
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,LERMA-,Independientes,INDEPENDIENTE,He Gets Us Social Commitment,EE UU,Brand Haven,Ditore Mayo Entertainment - MDS,Plata,/awards/fiap/2023/campaigns/he-gets-us-social-commitment-brand-haven-lerma-2023/
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-4/
FIAP,2023,Formatos,Mejor Campana de Sostenibilidad,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Plata,/awards/fiap/2023/campaigns/reusables-supermax-de-la-cruz-ogilvy-2023-3/
FIAP,2023,Formatos,Mejor estrategia de lanzamiento de programa,LERMA-,Independientes,INDEPENDIENTE,He Gets Us Campaign Launch,EE UU,Brand Haven,Ditore Mayo Entertainment - MDS,Plata,/awards/fiap/2023/campaigns/he-gets-us-campaign-launch-brand-haven-lerma-2023/
FIAP,2023,Formatos,Online Video,Conill,Publicis Worldwide,PUBLICIS GROUPE,The 20 Years Call,EE UU,Metro by T-Mobile,Parana Films,Plata,/awards/fiap/2023/campaigns/the-20-years-call-metro-by-t-mobile-conill-2023/
FIAP,2023,Formatos,Online Video,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata,/awards/fiap/2023/campaigns/la-escalera-hijos-de-rivera-sau-this-is-libre-2023-2/
FIAP,2023,Formatos,Salud,From,Independientes,INDEPENDIENTE,Safety Measures,Uruguay,Fundacion Gonzalo Rodriguez,Apa Films,Plata,/awards/fiap/2023/campaigns/safety-measures-fundacion-gonzalo-rodriguez-from-2023-2/
FIAP,2023,Formatos,Via Publica,Prosper,Independientes,INDEPENDIENTE,La Modelo Hackeada,Brasil,Vitoria Apart Hospital,Ponto,Plata,/awards/fiap/2023/campaigns/la-modelo-hackeada-vitoria-apart-hospital-prosper-2023/
FIAP,2023,Formatos,Via Publica,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-5/
FIAP,2023,Formatos,Branded Content integrado a otras plataformas,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce,/awards/fiap/2023/campaigns/corrido-of-duty-activision-blizzard-archer-troy-2023-2/
FIAP,2023,Formatos,Contenido con mejor estrategia digital,End to End,Independientes,INDEPENDIENTE,Pele in the Dictionary,Brasil,sportv,Muevo,Bronce,/awards/fiap/2023/campaigns/pele-in-the-dictionary-sportv-end-to-end-2023/
FIAP,2023,Formatos,Live Experience,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce,/awards/fiap/2023/campaigns/ready-player-mom-enterogermina-mrm-spain-2023/
FIAP,2023,Formatos,Live Experience,LLYC,Independientes,INDEPENDIENTE,Kolapso Elegir el Manana,Espana,BBK,Berde,Bronce,/awards/fiap/2023/campaigns/kolapso-elegir-el-manana-bbk-llyc-2023/
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Bronce,/awards/fiap/2023/campaigns/sopa-de-senas-grupo-la-moderna-beso-by-llyc-2023-2/
FIAP,2023,Formatos,Mejor estrategia de lanzamiento de programa,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce,/awards/fiap/2023/campaigns/reusables-supermax-de-la-cruz-ogilvy-2023-4/
FIAP,2023,Formatos,Mejor Uso de Ambient Media,Havas Group Peru,Havas Creative,HAVAS,El amor verdadero no mata,Peru,Amnistia Internacional,Havas Group Peru,Bronce,/awards/fiap/2023/campaigns/el-amor-verdadero-no-mata-amnistia-internacional-havas-group-peru-2023/
